mechanism,benchmark,n_procs,msg_size_bytes,placement,iterations,avg_ns,p50_ns,p99_ns,min_ns,max_ns,throughput_msg_s,throughput_MB_s
mq_sysv,pingpong,2,8,same_core,50000,3324.8,3216.0,4774.0,3146.0,99702.0,149659,2.284
mq_sysv,pingpong,2,64,same_core,50000,3338.8,3241.0,4613.0,3166.0,45956.0,149068,18.197
mq_sysv,pingpong,2,256,same_core,50000,3366.6,3266.0,4699.0,3196.0,53886.0,147773,72.155
mq_sysv,pingpong,2,1024,same_core,50000,3703.3,3596.0,5260.0,3296.0,76669.0,134344,262.390
mq_sysv,pingpong,2,4096,same_core,50000,4392.2,4223.0,6227.0,4132.0,86792.0,112846,881.606
mq_sysv,pingpong,2,8192,same_core,50000,5127.0,4974.0,7323.0,4874.0,76408.0,96537,1508.397
mq_sysv,pingpong,2,8,diff_core,50000,4280.0,3922.0,6312.0,3151.0,1001944.0,116221,1.773
mq_sysv,pingpong,2,64,diff_core,50000,4129.5,3922.0,5846.0,3847.0,263579.0,120467,14.705
mq_sysv,pingpong,2,256,diff_core,50000,4271.7,3982.0,6517.0,3892.0,837375.0,116457,56.864
mq_sysv,pingpong,2,1024,diff_core,50000,4783.2,4503.0,7424.0,3762.0,735499.0,103696,202.531
mq_sysv,pingpong,2,4096,diff_core,50000,5677.4,5375.0,8546.0,5194.0,277515.0,87288,681.939
mq_sysv,pingpong,2,8192,diff_core,50000,6722.4,6352.0,10044.0,6191.0,367795.0,73641,1150.647
mq_sysv,throughput,2,8,diff_core_q1,200000,2483.8,0.0,0.0,0.0,0.0,402608,3.072
mq_sysv,throughput,2,64,diff_core_q1,200000,3853.1,0.0,0.0,0.0,0.0,259529,15.840
mq_sysv,throughput,2,256,diff_core_q1,200000,3890.9,0.0,0.0,0.0,0.0,257011,62.747
mq_sysv,throughput,2,1024,diff_core_q1,200000,4048.4,0.0,0.0,0.0,0.0,247010,241.221
mq_sysv,throughput,2,4096,diff_core_q1,200000,4091.2,0.0,0.0,0.0,0.0,244426,954.788
mq_sysv,throughput,2,8192,diff_core_q1,200000,4340.5,0.0,0.0,0.0,0.0,230390,1799.923
mq_sysv,throughput,2,8,diff_core_q64,200000,646.9,0.0,0.0,0.0,0.0,1545911,11.794
mq_sysv,throughput,2,64,diff_core_q64,200000,661.7,0.0,0.0,0.0,0.0,1511161,92.234
mq_sysv,throughput,2,256,diff_core_q64,200000,689.3,0.0,0.0,0.0,0.0,1450732,354.183
mq_sysv,throughput,2,1024,diff_core_q64,200000,922.0,0.0,0.0,0.0,0.0,1084598,1059.178
mq_sysv,throughput,2,4096,diff_core_q64,200000,1426.2,0.0,0.0,0.0,0.0,701163,2738.917
mq_sysv,throughput,2,8192,diff_core_q64,200000,2197.4,0.0,0.0,0.0,0.0,455083,3555.336
mq_sysv,throughput,2,8,diff_core_q512,200000,626.9,0.0,0.0,0.0,0.0,1595050,12.169
mq_sysv,throughput,2,64,diff_core_q512,200000,653.1,0.0,0.0,0.0,0.0,1531136,93.453
mq_sysv,throughput,2,256,diff_core_q512,200000,671.6,0.0,0.0,0.0,0.0,1488995,363.524
mq_sysv,throughput,2,1024,diff_core_q512,200000,933.9,0.0,0.0,0.0,0.0,1070727,1045.632
mq_sysv,throughput,2,4096,diff_core_q512,200000,1379.5,0.0,0.0,0.0,0.0,724896,2831.624
mq_sysv,throughput,2,8192,diff_core_q512,200000,2229.7,0.0,0.0,0.0,0.0,448495,3503.870
mq_sysv,fanin_n1,2,64,fanin,10000,678.8,0.0,0.0,0.0,0.0,1473129,89.913
mq_sysv,fanin_n1,2,256,fanin,10000,733.5,0.0,0.0,0.0,0.0,1363363,332.852
mq_sysv,fanin_n1,2,1024,fanin,10000,970.7,0.0,0.0,0.0,0.0,1030200,1006.055
mq_sysv,fanin_n2,3,64,fanin,20000,958.4,0.0,0.0,0.0,0.0,1043424,63.686
mq_sysv,fanin_n2,3,256,fanin,20000,994.8,0.0,0.0,0.0,0.0,1005241,245.420
mq_sysv,fanin_n2,3,1024,fanin,20000,1118.5,0.0,0.0,0.0,0.0,894016,873.063
mq_sysv,fanin_n4,5,64,fanin,40000,2076.7,0.0,0.0,0.0,0.0,481532,29.390
mq_sysv,fanin_n4,5,256,fanin,40000,2172.0,0.0,0.0,0.0,0.0,460410,112.405
mq_sysv,fanin_n4,5,1024,fanin,40000,2381.6,0.0,0.0,0.0,0.0,419886,410.045
mq_sysv,fanin_n8,9,64,fanin,80000,3483.3,0.0,0.0,0.0,0.0,287082,17.522
mq_sysv,fanin_n8,9,256,fanin,80000,3472.3,0.0,0.0,0.0,0.0,287996,70.311
mq_sysv,fanin_n8,9,1024,fanin,80000,3605.6,0.0,0.0,0.0,0.0,277343,270.843
mq_sysv,fanin_n16,17,64,fanin,160000,11094.7,0.0,0.0,0.0,0.0,90133,5.501
mq_sysv,fanin_n16,17,256,fanin,160000,10831.5,0.0,0.0,0.0,0.0,92323,22.540
mq_sysv,fanin_n16,17,1024,fanin,160000,11280.1,0.0,0.0,0.0,0.0,88652,86.574
mq_sysv,pairs_n1,2,64,pairs,10000,4363.8,3977.0,7429.0,3872.0,229725.0,0,0.000
mq_sysv,pairs_n1,2,256,pairs,10000,4260.8,4027.0,6407.0,3912.0,198096.0,0,0.000
mq_sysv,pairs_n1,2,1024,pairs,10000,4822.4,4664.0,6948.0,4328.0,192651.0,0,0.000
mq_sysv,pairs_n2,4,64,pairs,20000,4827.1,5179.0,7269.0,3887.0,173064.0,0,0.000
mq_sysv,pairs_n2,4,256,pairs,20000,4999.5,5390.0,7273.0,3972.0,255689.0,0,0.000
mq_sysv,pairs_n2,4,1024,pairs,20000,5596.7,6086.0,8566.0,4128.0,131912.0,0,0.000
mq_sysv,pairs_n4,8,64,pairs,40000,5268.8,4999.0,8295.0,3947.0,539697.0,0,0.000
mq_sysv,pairs_n4,8,256,pairs,40000,5431.4,5109.0,9302.0,3997.0,873984.0,0,0.000
mq_sysv,pairs_n4,8,1024,pairs,40000,5858.8,5535.0,9207.0,4153.0,400075.0,0,0.000
mq_sysv,pairs_n8,16,64,pairs,80000,7186.5,5435.0,16776.0,3722.0,1186149.0,0,0.000
mq_sysv,pairs_n8,16,256,pairs,80000,7251.0,5620.0,16601.0,4037.0,792310.0,0,0.000
mq_sysv,pairs_n8,16,1024,pairs,80000,7773.5,5851.0,18469.0,4082.0,738294.0,0,0.000
